ShipmentItem,Shipment,Item,OrderItem,Date,Stock
200441-4,200441,4,100879-4,10/26/2022,S0219
200441-5,200441,5,100879-5,10/26/2022,S0101
200442-1,200442,1,100882-1,5/13/2023,S0078
200442-2,200442,2,100882-2,5/13/2023,S0155
200442-3,200442,3,100882-3,5/13/2023,S0389
200442-4,200442,4,100882-4,5/13/2023,S0248
200443-1,200443,1,100883-1,6/19/2024,S0544
200443-2,200443,2,100883-2,6/19/2024,S0601
200444-1,200444,1,100885-1,11/1/2024,S0016
200444-2,200444,2,100885-2,11/1/2024,S0544
200444-3,200444,3,100885-3,11/1/2024,S0594
200445-1,200445,1,100890-1,5/9/2022,S0165
200446-1,200446,1,100891-1,10/7/2025,S0219
200446-2,200446,2,100891-2,10/7/2025,S0330
200446-3,200446,3,100891-3,10/7/2025,S0005
200447-1,200447,1,100892-1,5/6/2023,S0102
200447-2,200447,2,100892-2,5/6/2023,S0533
200447-3,200447,3,100892-3,5/6/2023,S0508
200447-4,200447,4,100892-4,5/6/2023,S0017
200448-1,200448,1,100893-1,3/7/2023,S0363
200448-2,200448,2,100893-2,3/7/2023,S0282
200448-3,200448,3,100893-3,3/7/2023,S0398
200449-1,200449,1,100894-1,3/11/2023,S0357
200449-2,200449,2,100894-2,3/11/2023,S0491
200449-3,200449,3,100894-3,3/11/2023,S0521
200450-1,200450,1,100895-1,12/7/2022,S0126
200450-2,200450,2,100895-2,12/7/2022,S0206
200450-3,200450,3,100895-3,12/7/2022,S0487
200451-1,200451,1,100896-1,3/21/2025,S0009
200451-2,200451,2,100896-2,3/21/2025,S0592
200452-1,200452,1,100898-1,4/25/2023,S0362
200452-2,200452,2,100898-2,4/25/2023,S0588
200452-3,200452,3,100898-3,4/25/2023,S0268
200453-1,200453,1,100899-1,12/14/2025,S0583
200453-2,200453,2,100899-2,12/14/2025,S0274
200454-1,200454,1,100900-1,7/20/2024,S0470
200455-1,200455,1,100903-1,5/28/2022,S0084
200456-1,200456,1,100904-1,7/9/2024,S0184
200456-2,200456,2,100904-2,7/9/2024,S0449
200456-3,200456,3,100904-3,7/9/2024,S0418
200457-1,200457,1,100908-1,8/28/2025,S0466
200458-1,200458,1,100909-1,12/10/2024,S0236
200458-2,200458,2,100909-2,12/10/2024,S0293
200458-3,200458,3,100909-3,12/10/2024,S0413
200458-4,200458,4,100909-4,12/10/2024,S0245
200459-1,200459,1,100910-1,8/26/2022,S0037
200459-2,200459,2,100910-2,8/26/2022,S0565
200459-3,200459,3,100910-3,8/26/2022,S0533
200459-4,200459,4,100910-4,8/26/2022,S0353
200459-5,200459,5,100910-5,8/26/2022,S0367
200460-1,200460,1,100911-1,1/17/2024,S0053
200460-2,200460,2,100911-2,1/17/2024,S0007
200460-3,200460,3,100911-3,1/17/2024,S0416
200461-1,200461,1,100912-1,8/3/2023,S0030
200462-1,200462,1,100914-1,6/23/2024,S0120
200462-2,200462,2,100914-2,6/23/2024,S0504
200462-3,200462,3,100914-3,6/23/2024,S0148
200463-1,200463,1,100915-1,8/9/2024,S0057
200463-2,200463,2,100915-2,8/9/2024,S0247
200463-3,200463,3,100915-3,8/9/2024,S0457
200464-1,200464,1,100917-1,3/31/2025,S0446
200464-2,200464,2,100917-2,3/31/2025,S0448
200465-1,200465,1,100918-1,12/24/2024,S0108
200466-1,200466,1,100919-1,6/22/2022,S0198
200466-2,200466,2,100919-2,6/22/2022,S0059
200466-3,200466,3,100919-3,6/22/2022,S0008
200466-4,200466,4,100919-4,6/22/2022,S0338
200466-5,200466,5,100919-5,6/22/2022,S0416
200467-1,200467,1,100920-1,5/2/2022,S0485
200468-1,200468,1,100926-1,4/5/2025,S0036
200469-1,200469,1,100927-1,10/1/2025,S0056
200469-2,200469,2,100927-2,10/1/2025,S0456
200469-3,200469,3,100927-3,10/1/2025,S0045
200469-4,200469,4,100927-4,10/1/2025,S0529
200470-1,200470,1,100928-1,9/12/2022,S0274
200470-2,200470,2,100928-2,9/12/2022,S0603
200470-3,200470,3,100928-3,9/12/2022,S0273
200471-1,200471,1,100929-1,4/11/2024,S0156
200472-1,200472,1,100931-1,4/19/2025,S0502
200472-2,200472,2,100931-2,4/19/2025,S0408
200472-3,200472,3,100931-3,4/19/2025,S0210
200472-4,200472,4,100931-4,4/19/2025,S0262
200472-5,200472,5,100931-5,4/19/2025,S0323
200473-1,200473,1,100933-1,7/25/2023,S0599
200473-2,200473,2,100933-2,7/25/2023,S0226
200473-3,200473,3,100933-3,7/25/2023,S0539
200473-4,200473,4,100933-4,7/25/2023,S0612
200474-1,200474,1,100934-1,8/6/2022,S0167
200474-2,200474,2,100934-2,8/6/2022,S0304
200475-1,200475,1,100937-1,6/14/2025,S0479
200475-2,200475,2,100937-2,6/14/2025,S0436
200475-3,200475,3,100937-3,6/14/2025,S0193
200475-4,200475,4,100937-4,6/14/2025,S0441
200476-1,200476,1,100939-1,5/1/2025,S0058
200476-2,200476,2,100939-2,5/1/2025,S0581
200476-3,200476,3,100939-3,5/1/2025,S0010
200477-1,200477,1,100940-1,8/28/2025,S0543
200478-1,200478,1,100942-1,8/21/2023,S0363
200478-2,200478,2,100942-2,8/21/2023,S0588
200478-3,200478,3,100942-3,8/21/2023,S0051
200479-1,200479,1,100943-1,6/23/2025,S0017
200479-2,200479,2,100943-2,6/23/2025,S0401
200479-3,200479,3,100943-3,6/23/2025,S0296
200479-4,200479,4,100943-4,6/23/2025,S0307
200479-5,200479,5,100943-5,6/23/2025,S0342
200480-1,200480,1,100944-1,10/10/2023,S0151
200480-2,200480,2,100944-2,10/10/2023,S0051
200480-3,200480,3,100944-3,10/10/2023,S0583
200480-4,200480,4,100944-4,10/10/2023,S0513
200481-1,200481,1,100946-1,2/23/2023,S0568
200481-2,200481,2,100946-2,2/23/2023,S0395
200481-3,200481,3,100946-3,2/23/2023,S0336
200481-4,200481,4,100946-4,2/23/2023,S0602
200481-5,200481,5,100946-5,2/23/2023,S0416
200482-1,200482,1,100947-1,2/1/2023,S0150
200482-2,200482,2,100947-2,2/1/2023,S0485
200482-3,200482,3,100947-3,2/1/2023,S0161
200482-4,200482,4,100947-4,2/1/2023,S0007
200483-1,200483,1,100948-1,10/8/2025,S0522
200483-2,200483,2,100948-2,10/8/2025,S0107
200483-3,200483,3,100948-3,10/8/2025,S0417
200483-4,200483,4,100948-4,10/8/2025,S0369
200483-5,200483,5,100948-5,10/8/2025,S0244
200484-1,200484,1,100953-1,6/18/2024,S0618
200484-2,200484,2,100953-2,6/18/2024,S0180
200485-1,200485,1,100955-1,11/30/2025,S0523
200485-2,200485,2,100955-2,11/30/2025,S0165
200486-1,200486,1,100956-1,12/30/2023,S0433
200486-2,200486,2,100956-2,12/30/2023,S0452
200487-1,200487,1,100958-1,10/11/2024,S0566
200487-2,200487,2,100958-2,10/11/2024,S0320
200487-3,200487,3,100958-3,10/11/2024,S0591
200487-4,200487,4,100958-4,10/11/2024,S0239
200488-1,200488,1,100959-1,6/14/2023,S0237
200488-2,200488,2,100959-2,6/14/2023,S0439
200488-3,200488,3,100959-3,6/14/2023,S0465
200489-1,200489,1,100961-1,7/24/2022,S0549
200489-2,200489,2,100961-2,7/24/2022,S0190
200489-3,200489,3,100961-3,7/24/2022,S0611
200490-1,200490,1,100962-1,11/20/2023,S0317
200490-2,200490,2,100962-2,11/20/2023,S0008
200490-3,200490,3,100962-3,11/20/2023,S0529
200491-1,200491,1,100963-1,7/13/2022,S0607
200491-2,200491,2,100963-2,7/13/2022,S0044
200491-3,200491,3,100963-3,7/13/2022,S0294
200492-1,200492,1,100964-1,10/6/2023,S0293
200492-2,200492,2,100964-2,10/6/2023,S0085
200492-3,200492,3,100964-3,10/6/2023,S0370
200492-4,200492,4,100964-4,10/6/2023,S0331
200492-5,200492,5,100964-5,10/6/2023,S0346
200493-1,200493,1,100967-1,8/13/2023,S0072
200493-2,200493,2,100967-2,8/13/2023,S0600
200493-3,200493,3,100967-3,8/13/2023,S0554
200493-4,200493,4,100967-4,8/13/2023,S0507
200493-5,200493,5,100967-5,8/13/2023,S0251
200494-1,200494,1,100969-1,3/19/2022,S0089
200494-2,200494,2,100969-2,3/19/2022,S0378
200494-3,200494,3,100969-3,3/19/2022,S0357
200494-4,200494,4,100969-4,3/19/2022,S0262
200495-1,200495,1,100970-1,8/24/2025,S0464
200495-2,200495,2,100970-2,8/24/2025,S0559
200495-3,200495,3,100970-3,8/24/2025,S0613
200496-1,200496,1,100972-1,2/1/2022,S0368
200496-2,200496,2,100972-2,2/1/2022,S0352
200497-1,200497,1,100975-1,2/12/2022,S0505
200497-2,200497,2,100975-2,2/12/2022,S0305
200497-3,200497,3,100975-3,2/12/2022,S0349
200497-4,200497,4,100975-4,2/12/2022,S0292
200498-1,200498,1,100976-1,11/24/2024,S0030
200498-2,200498,2,100976-2,11/24/2024,S0306
200498-3,200498,3,100976-3,11/24/2024,S0102
200499-1,200499,1,100981-1,10/31/2022,S0501
200499-2,200499,2,100981-2,10/31/2022,S0189
200499-3,200499,3,100981-3,10/31/2022,S0260
200499-4,200499,4,100981-4,10/31/2022,S0025
200500-1,200500,1,100985-1,6/6/2022,S0529
200500-2,200500,2,100985-2,6/6/2022,S0030
200500-3,200500,3,100985-3,6/6/2022,S0515
200500-4,200500,4,100985-4,6/6/2022,S0304
200501-1,200501,1,100986-1,11/26/2024,S0537
200501-2,200501,2,100986-2,11/26/2024,S0002
200502-1,200502,1,100988-1,2/16/2022,S0371
200502-2,200502,2,100988-2,2/16/2022,S0416
200503-1,200503,1,100990-1,11/27/2025,S0174
200503-2,200503,2,100990-2,11/27/2025,S0567
200503-3,200503,3,100990-3,11/27/2025,S0349
200503-4,200503,4,100990-4,11/27/2025,S0227
200503-5,200503,5,100990-5,11/27/2025,S0109
200504-1,200504,1,100995-1,1/5/2024,S0087
200504-2,200504,2,100995-2,1/5/2024,S0366
200504-3,200504,3,100995-3,1/5/2024,S0243
200504-4,200504,4,100995-4,1/5/2024,S0122
200504-5,200504,5,100995-5,1/5/2024,S0267
200505-1,200505,1,100996-1,10/24/2025,S0422
200505-2,200505,2,100996-2,10/24/2025,S0048
200506-1,200506,1,100997-1,6/2/2024,S0361
200506-2,200506,2,100997-2,6/2/2024,S0093
200506-3,200506,3,100997-3,6/2/2024,S0503
200506-4,200506,4,100997-4,6/2/2024,S0423
200507-1,200507,1,100998-1,7/15/2022,S0145
200507-2,200507,2,100998-2,7/15/2022,S0461
200507-3,200507,3,100998-3,7/15/2022,S0580
200507-4,200507,4,100998-4,7/15/2022,S0228
200507-5,200507,5,100998-5,7/15/2022,S0113
200508-1,200508,1,100999-1,10/11/2024,S0291
200508-2,200508,2,100999-2,10/11/2024,S0103
200509-1,200509,1,101003-1,2/5/2023,S0370
200509-2,200509,2,101003-2,2/5/2023,S0462
200509-3,200509,3,101003-3,2/5/2023,S0601
200509-4,200509,4,101003-4,2/5/2023,S0249
200510-1,200510,1,101007-1,9/30/2024,S0071
200510-2,200510,2,101007-2,9/30/2024,S0502
200510-3,200510,3,101007-3,9/30/2024,S0083
200510-4,200510,4,101007-4,9/30/2024,S0443
200510-5,200510,5,101007-5,9/30/2024,S0120
200511-1,200511,1,101008-1,8/19/2022,S0312
200511-2,200511,2,101008-2,8/19/2022,S0221
200511-3,200511,3,101008-3,8/19/2022,S0121
200511-4,200511,4,101008-4,8/19/2022,S0092
200512-1,200512,1,101010-1,1/13/2022,S0251
200512-2,200512,2,101010-2,1/13/2022,S0207
200512-3,200512,3,101010-3,1/13/2022,S0235
200512-4,200512,4,101010-4,1/13/2022,S0241
200513-1,200513,1,101011-1,5/4/2022,S0490
200513-2,200513,2,101011-2,5/4/2022,S0093
200513-3,200513,3,101011-3,5/4/2022,S0358
200513-4,200513,4,101011-4,5/4/2022,S0070
200513-5,200513,5,101011-5,5/4/2022,S0066
200514-1,200514,1,101012-1,1/5/2024,S0222
200515-1,200515,1,101016-1,2/26/2022,S0580
200516-1,200516,1,101018-1,12/3/2024,S0160
200517-1,200517,1,101021-1,5/2/2023,S0195
200517-2,200517,2,101021-2,5/2/2023,S0334
200517-3,200517,3,101021-3,5/2/2023,S0184
200517-4,200517,4,101021-4,5/2/2023,S0604
200517-5,200517,5,101021-5,5/2/2023,S0307
200518-1,200518,1,101023-1,5/3/2023,S0223
200518-2,200518,2,101023-2,5/3/2023,S0315
200518-3,200518,3,101023-3,5/3/2023,S0153
200518-4,200518,4,101023-4,5/3/2023,S0172
200518-5,200518,5,101023-5,5/3/2023,S0066
200519-1,200519,1,101025-1,4/22/2025,S0322
200520-1,200520,1,101027-1,4/6/2023,S0457
200520-2,200520,2,101027-2,4/6/2023,S0339
200521-1,200521,1,101029-1,11/21/2025,S0020
200521-2,200521,2,101029-2,11/21/2025,S0459
200521-3,200521,3,101029-3,11/21/2025,S0063
200521-4,200521,4,101029-4,11/21/2025,S0416
200521-5,200521,5,101029-5,11/21/2025,S0551
200522-1,200522,1,101030-1,8/14/2024,S0399
200522-2,200522,2,101030-2,8/14/2024,S0237
200522-3,200522,3,101030-3,8/14/2024,S0504
200522-4,200522,4,101030-4,8/14/2024,S0267
200522-5,200522,5,101030-5,8/14/2024,S0181
200523-1,200523,1,101036-1,3/1/2022,S0332
200523-2,200523,2,101036-2,3/1/2022,S0507
200523-3,200523,3,101036-3,3/1/2022,S0405
200524-1,200524,1,101037-1,2/20/2022,S0304
200524-2,200524,2,101037-2,2/20/2022,S0252
200524-3,200524,3,101037-3,2/20/2022,S0242
200524-4,200524,4,101037-4,2/20/2022,S0392
200525-1,200525,1,101038-1,10/22/2024,S0610
200525-2,200525,2,101038-2,10/22/2024,S0037
200525-3,200525,3,101038-3,10/22/2024,S0460
200526-1,200526,1,101040-1,2/12/2025,S0586
200526-2,200526,2,101040-2,2/12/2025,S0536
200527-1,200527,1,101041-1,8/12/2022,S0513
200527-2,200527,2,101041-2,8/12/2022,S0195
200527-3,200527,3,101041-3,8/12/2022,S0453
200527-4,200527,4,101041-4,8/12/2022,S0280
200527-5,200527,5,101041-5,8/12/2022,S0431
200528-1,200528,1,101042-1,7/19/2023,S0499
200528-2,200528,2,101042-2,7/19/2023,S0053
200529-1,200529,1,101044-1,9/16/2023,S0454
200529-2,200529,2,101044-2,9/16/2023,S0200
200529-3,200529,3,101044-3,9/16/2023,S0372
200530-1,200530,1,101048-1,11/21/2025,S0013
200530-2,200530,2,101048-2,11/21/2025,S0215
200530-3,200530,3,101048-3,11/21/2025,S0310
200530-4,200530,4,101048-4,11/21/2025,S0343
200531-1,200531,1,101049-1,4/26/2022,S0131
200531-2,200531,2,101049-2,4/26/2022,S0129
200532-1,200532,1,101051-1,6/3/2025,S0141
200532-2,200532,2,101051-2,6/3/2025,S0563
200532-3,200532,3,101051-3,6/3/2025,S0586
200533-1,200533,1,101052-1,12/13/2025,S0197
200533-2,200533,2,101052-2,12/13/2025,S0307
200533-3,200533,3,101052-3,12/13/2025,S0622
200533-4,200533,4,101052-4,12/13/2025,S0510
200533-5,200533,5,101052-5,12/13/2025,S0418
200534-1,200534,1,101053-1,7/18/2024,S0181
200534-2,200534,2,101053-2,7/18/2024,S0192
200535-1,200535,1,101054-1,4/29/2022,S0513
200535-2,200535,2,101054-2,4/29/2022,S0247
200535-3,200535,3,101054-3,4/29/2022,S0436
200535-4,200535,4,101054-4,4/29/2022,S0251
200535-5,200535,5,101054-5,4/29/2022,S0354
200536-1,200536,1,101056-1,5/3/2024,S0180
200536-2,200536,2,101056-2,5/3/2024,S0288
200537-1,200537,1,101060-1,8/29/2022,S0417
200537-2,200537,2,101060-2,8/29/2022,S0266
200537-3,200537,3,101060-3,8/29/2022,S0194
200538-1,200538,1,101062-1,3/20/2024,S0276
200539-1,200539,1,101064-1,2/21/2023,S0133
200539-2,200539,2,101064-2,2/21/2023,S0021
200539-3,200539,3,101064-3,2/21/2023,S0358
200540-1,200540,1,101068-1,7/12/2023,S0307
200541-1,200541,1,101069-1,8/3/2022,S0154
200541-2,200541,2,101069-2,8/3/2022,S0143
200542-1,200542,1,101070-1,7/22/2025,S0302
200542-2,200542,2,101070-2,7/22/2025,S0033
200542-3,200542,3,101070-3,7/22/2025,S0013
200543-1,200543,1,101075-1,12/22/2023,S0133
200543-2,200543,2,101075-2,12/22/2023,S0028
200543-3,200543,3,101075-3,12/22/2023,S0325
200543-4,200543,4,101075-4,12/22/2023,S0142
200544-1,200544,1,101076-1,6/6/2024,S0302
200544-2,200544,2,101076-2,6/6/2024,S0271
200545-1,200545,1,101081-1,7/23/2024,S0002
200545-2,200545,2,101081-2,7/23/2024,S0337
200545-3,200545,3,101081-3,7/23/2024,S0458
200545-4,200545,4,101081-4,7/23/2024,S0301
200545-5,200545,5,101081-5,7/23/2024,S0516
200546-1,200546,1,101082-1,11/4/2024,S0172
200546-2,200546,2,101082-2,11/4/2024,S0486
200546-3,200546,3,101082-3,11/4/2024,S0055
200546-4,200546,4,101082-4,11/4/2024,S0553
200547-1,200547,1,101088-1,4/29/2023,S0490
200547-2,200547,2,101088-2,4/29/2023,S0600
200547-3,200547,3,101088-3,4/29/2023,S0303
200547-4,200547,4,101088-4,4/29/2023,S0394
200548-1,200548,1,101089-1,10/26/2024,S0538
200548-2,200548,2,101089-2,10/26/2024,S0436
200548-3,200548,3,101089-3,10/26/2024,S0201
200548-4,200548,4,101089-4,10/26/2024,S0248
200549-1,200549,1,101090-1,9/24/2023,S0086
200549-2,200549,2,101090-2,9/24/2023,S0543
200549-3,200549,3,101090-3,9/24/2023,S0280
200550-1,200550,1,101092-1,4/4/2025,S0322
200550-2,200550,2,101092-2,4/4/2025,S0473
200551-1,200551,1,101097-1,6/30/2025,S0613
200551-2,200551,2,101097-2,6/30/2025,S0579
200552-1,200552,1,101098-1,2/8/2022,S0206
200552-2,200552,2,101098-2,2/8/2022,S0589
200552-3,200552,3,101098-3,2/8/2022,S0572
200552-4,200552,4,101098-4,2/8/2022,S0481
200552-5,200552,5,101098-5,2/8/2022,S0391
200553-1,200553,1,101100-1,7/13/2024,S0002
200553-2,200553,2,101100-2,7/13/2024,S0349
200554-1,200554,1,101104-1,7/16/2023,S0424
200554-2,200554,2,101104-2,7/16/2023,S0612
200554-3,200554,3,101104-3,7/16/2023,S0429
200554-4,200554,4,101104-4,7/16/2023,S0118
200554-5,200554,5,101104-5,7/16/2023,S0218
200555-1,200555,1,101107-1,10/16/2023,S0535
200556-1,200556,1,101110-1,10/2/2023,S0181
200556-2,200556,2,101110-2,10/2/2023,S0174
200556-3,200556,3,101110-3,10/2/2023,S0495
200557-1,200557,1,101111-1,7/13/2024,S0282
200557-2,200557,2,101111-2,7/13/2024,S0347
200557-3,200557,3,101111-3,7/13/2024,S0597
200557-4,200557,4,101111-4,7/13/2024,S0159
200557-5,200557,5,101111-5,7/13/2024,S0325
200558-1,200558,1,101113-1,11/6/2024,S0090
200558-2,200558,2,101113-2,11/6/2024,S0190
200558-3,200558,3,101113-3,11/6/2024,S0344
200559-1,200559,1,101115-1,1/31/2022,S0428
200559-2,200559,2,101115-2,1/31/2022,S0464
200559-3,200559,3,101115-3,1/31/2022,S0037
200560-1,200560,1,101116-1,10/8/2023,S0611
200560-2,200560,2,101116-2,10/8/2023,S0057
200560-3,200560,3,101116-3,10/8/2023,S0224
200560-4,200560,4,101116-4,10/8/2023,S0431
200560-5,200560,5,101116-5,10/8/2023,S0039
200561-1,200561,1,101117-1,4/22/2025,S0226
200561-2,200561,2,101117-2,4/22/2025,S0608
200561-3,200561,3,101117-3,4/22/2025,S0341
200561-4,200561,4,101117-4,4/22/2025,S0264
200562-1,200562,1,101119-1,7/17/2025,S0084
200562-2,200562,2,101119-2,7/17/2025,S0009
200562-3,200562,3,101119-3,7/17/2025,S0074
200563-1,200563,1,101122-1,12/23/2022,S0522
200564-1,200564,1,101125-1,7/31/2025,S0080
200565-1,200565,1,101126-1,7/16/2023,S0244
200565-2,200565,2,101126-2,7/16/2023,S0526
200565-3,200565,3,101126-3,7/16/2023,S0596
200566-1,200566,1,101131-1,8/22/2023,S0207
200566-2,200566,2,101131-2,8/22/2023,S0185
200567-1,200567,1,101132-1,7/10/2024,S0145
200567-2,200567,2,101132-2,7/10/2024,S0506
200567-3,200567,3,101132-3,7/10/2024,S0350
200567-4,200567,4,101132-4,7/10/2024,S0127
200567-5,200567,5,101132-5,7/10/2024,S0359
200568-1,200568,1,101135-1,10/25/2024,S0328
200569-1,200569,1,101140-1,3/11/2024,S0265
200569-2,200569,2,101140-2,3/11/2024,S0500
200569-3,200569,3,101140-3,3/11/2024,S0048
200569-4,200569,4,101140-4,3/11/2024,S0243
200570-1,200570,1,101142-1,6/11/2022,S0498
200570-2,200570,2,101142-2,6/11/2022,S0056
200571-1,200571,1,101146-1,2/22/2025,S0467
200572-1,200572,1,101151-1,5/12/2023,S0575
200572-2,200572,2,101151-2,5/12/2023,S0294
200572-3,200572,3,101151-3,5/12/2023,S0199
200572-4,200572,4,101151-4,5/12/2023,S0296
200573-1,200573,1,101152-1,1/26/2022,S0299
200573-2,200573,2,101152-2,1/26/2022,S0220
200573-3,200573,3,101152-3,1/26/2022,S0336
200574-1,200574,1,101153-1,1/7/2024,S0618
200574-2,200574,2,101153-2,1/7/2024,S0349
200574-3,200574,3,101153-3,1/7/2024,S0405
200575-1,200575,1,101154-1,7/25/2023,S0619
200575-2,200575,2,101154-2,7/25/2023,S0452
200576-1,200576,1,101155-1,5/25/2025,S0327
200576-2,200576,2,101155-2,5/25/2025,S0586
200577-1,200577,1,101156-1,9/2/2023,S0541
200578-1,200578,1,101157-1,8/8/2023,S0334
200578-2,200578,2,101157-2,8/8/2023,S0545
200578-3,200578,3,101157-3,8/8/2023,S0057
200579-1,200579,1,101159-1,6/29/2025,S0306
200579-2,200579,2,101159-2,6/29/2025,S0004
200580-1,200580,1,101161-1,5/7/2024,S0262
200580-2,200580,2,101161-2,5/7/2024,S0033
200580-3,200580,3,101161-3,5/7/2024,S0606
200581-1,200581,1,101162-1,8/18/2023,S0026
200581-2,200581,2,101162-2,8/18/2023,S0015
200581-3,200581,3,101162-3,8/18/2023,S0251
200582-1,200582,1,101167-1,9/10/2022,S0422
200582-2,200582,2,101167-2,9/10/2022,S0301
200582-3,200582,3,101167-3,9/10/2022,S0216
200582-4,200582,4,101167-4,9/10/2022,S0191
200583-1,200583,1,101168-1,2/27/2023,S0450
200583-2,200583,2,101168-2,2/27/2023,S0431
200583-3,200583,3,101168-3,2/27/2023,S0499
200584-1,200584,1,101170-1,9/5/2025,S0596
200585-1,200585,1,101171-1,6/6/2022,S0140
200585-2,200585,2,101171-2,6/6/2022,S0402
200585-3,200585,3,101171-3,6/6/2022,S0287
200585-4,200585,4,101171-4,6/6/2022,S0417
200586-1,200586,1,101172-1,4/1/2022,S0405
200587-1,200587,1,101173-1,11/15/2025,S0555
200587-2,200587,2,101173-2,11/15/2025,S0112
200587-3,200587,3,101173-3,11/15/2025,S0075
200588-1,200588,1,101174-1,10/26/2022,S0162
200588-2,200588,2,101174-2,10/26/2022,S0528
200588-3,200588,3,101174-3,10/26/2022,S0039
200588-4,200588,4,101174-4,10/26/2022,S0149
200589-1,200589,1,101176-1,2/26/2024,S0326
200589-2,200589,2,101176-2,2/26/2024,S0376
200590-1,200590,1,101178-1,12/11/2024,S0076
200590-2,200590,2,101178-2,12/11/2024,S0468
200590-3,200590,3,101178-3,12/11/2024,S0484
200590-4,200590,4,101178-4,12/11/2024,S0069
200591-1,200591,1,101179-1,11/4/2024,S0025
200592-1,200592,1,101181-1,8/21/2025,S0557
200593-1,200593,1,101183-1,3/29/2023,S0520
200593-2,200593,2,101183-2,3/29/2023,S0518
200593-3,200593,3,101183-3,3/29/2023,S0231
200594-1,200594,1,101184-1,5/19/2024,S0092
200594-2,200594,2,101184-2,5/19/2024,S0059
200595-1,200595,1,101186-1,9/25/2023,S0304
200595-2,200595,2,101186-2,9/25/2023,S0125
200595-3,200595,3,101186-3,9/25/2023,S0339
200595-4,200595,4,101186-4,9/25/2023,S0608
200596-1,200596,1,101187-1,7/16/2024,S0424
200596-2,200596,2,101187-2,7/16/2024,S0325
200596-3,200596,3,101187-3,7/16/2024,S0572
200596-4,200596,4,101187-4,7/16/2024,S0602
200596-5,200596,5,101187-5,7/16/2024,S0133
200597-1,200597,1,101189-1,11/15/2023,S0482
200597-2,200597,2,101189-2,11/15/2023,S0377
200597-3,200597,3,101189-3,11/15/2023,S0344
200597-4,200597,4,101189-4,11/15/2023,S0561
200597-5,200597,5,101189-5,11/15/2023,S0266
200598-1,200598,1,101190-1,1/9/2024,S0390
200598-2,200598,2,101190-2,1/9/2024,S0303
200598-3,200598,3,101190-3,1/9/2024,S0616
200599-1,200599,1,101191-1,5/11/2023,S0347
200599-2,200599,2,101191-2,5/11/2023,S0323
200599-3,200599,3,101191-3,5/11/2023,S0241
200599-4,200599,4,101191-4,5/11/2023,S0061
200600-1,200600,1,101192-1,4/26/2023,S0170
200600-2,200600,2,101192-2,4/26/2023,S0541
200600-3,200600,3,101192-3,4/26/2023,S0158
200600-4,200600,4,101192-4,4/26/2023,S0593
200601-1,200601,1,101194-1,10/17/2022,S0334
200601-2,200601,2,101194-2,10/17/2022,S0107
200602-1,200602,1,101195-1,5/24/2023,S0434
200602-2,200602,2,101195-2,5/24/2023,S0317
200603-1,200603,1,101196-1,12/23/2023,S0426
200603-2,200603,2,101196-2,12/23/2023,S0080
200603-3,200603,3,101196-3,12/23/2023,S0353
200603-4,200603,4,101196-4,12/23/2023,S0281
200603-5,200603,5,101196-5,12/23/2023,S0588
200604-1,200604,1,101197-1,2/4/2023,S0442
200604-2,200604,2,101197-2,2/4/2023,S0336
200605-1,200605,1,101199-1,7/20/2025,S0452
200605-2,200605,2,101199-2,7/20/2025,S0281
200605-3,200605,3,101199-3,7/20/2025,S0194
200606-1,200606,1,101200-1,3/26/2024,S0207
200606-2,200606,2,101200-2,3/26/2024,S0120
200606-3,200606,3,101200-3,3/26/2024,S0097
200606-4,200606,4,101200-4,3/26/2024,S0104
200606-5,200606,5,101200-5,3/26/2024,S0220
200607-1,200607,1,101207-1,12/14/2023,S0115
200607-2,200607,2,101207-2,12/14/2023,S0279
200607-3,200607,3,101207-3,12/14/2023,S0477
200608-1,200608,1,101209-1,4/26/2023,S0334
200609-1,200609,1,101212-1,3/13/2024,S0399
200609-2,200609,2,101212-2,3/13/2024,S0400
200609-3,200609,3,101212-3,3/13/2024,S0184
200609-4,200609,4,101212-4,3/13/2024,S0215
200610-1,200610,1,101213-1,7/1/2023,S0186
200610-2,200610,2,101213-2,7/1/2023,S0402
200610-3,200610,3,101213-3,7/1/2023,S0036
200611-1,200611,1,101214-1,11/21/2025,S0611
200611-2,200611,2,101214-2,11/21/2025,S0058
200611-3,200611,3,101214-3,11/21/2025,S0460
200611-4,200611,4,101214-4,11/21/2025,S0060
200611-5,200611,5,101214-5,11/21/2025,S0013
200612-1,200612,1,101217-1,10/28/2024,S0516
200612-2,200612,2,101217-2,10/28/2024,S0268
200612-3,200612,3,101217-3,10/28/2024,S0377
200612-4,200612,4,101217-4,10/28/2024,S0250
200612-5,200612,5,101217-5,10/28/2024,S0329
200613-1,200613,1,101218-1,1/18/2025,S0440
200614-1,200614,1,101219-1,5/24/2025,S0383
200615-1,200615,1,101220-1,6/21/2025,S0550
200615-2,200615,2,101220-2,6/21/2025,S0028
200615-3,200615,3,101220-3,6/21/2025,S0443
200615-4,200615,4,101220-4,6/21/2025,S0342
200616-1,200616,1,101221-1,6/16/2025,S0601
200617-1,200617,1,101222-1,6/22/2023,S0597
200617-2,200617,2,101222-2,6/22/2023,S0502
200618-1,200618,1,101224-1,6/15/2023,S0192
200618-2,200618,2,101224-2,6/15/2023,S0187
200618-3,200618,3,101224-3,6/15/2023,S0198
